mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,displacement_cc,Pwr/Wt_Ratio
18.0,8,307.0,130.0,3504,12.0,70,usa,chevrolet chevelle malibu,5030.84,26.95
15.0,8,350.0,165.0,3693,11.5,70,usa,buick skylark 320,5735.48,22.38
18.0,8,318.0,150.0,3436,11.0,70,usa,plymouth satellite,5211.1,22.91
16.0,8,304.0,150.0,3433,12.0,70,usa,amc rebel sst,4981.68,22.89
17.0,8,302.0,140.0,3449,10.5,70,usa,ford torino,4948.9,24.64
15.0,8,429.0,198.0,4341,10.0,70,usa,ford galaxie 500,7030.07,21.92
14.0,8,454.0,220.0,4354,9.0,70,usa,chevrolet impala,7439.74,19.79
14.0,8,440.0,215.0,4312,8.5,70,usa,plymouth fury iii,7210.32,20.06
14.0,8,455.0,225.0,4425,10.0,70,usa,pontiac catalina,7456.13,19.67
15.0,8,390.0,190.0,3850,8.5,70,usa,amc ambassador dpl,6390.97,20.26
15.0,8,383.0,170.0,3563,10.0,70,usa,dodge challenger se,6276.26,20.96
14.0,8,340.0,160.0,3609,8.0,70,usa,plymouth 'cuda 340,5571.61,22.56
15.0,8,400.0,150.0,3761,9.5,70,usa,chevrolet monte carlo,6554.84,25.07
14.0,8,455.0,225.0,3086,10.0,70,usa,buick estate wagon (sw),7456.13,13.72
24.0,4,113.0,95.0,2372,15.0,70,japan,toyota corona mark ii,1851.74,24.97
22.0,6,198.0,95.0,2833,15.5,70,usa,plymouth duster,3244.65,29.82
18.0,6,199.0,97.0,2774,15.5,70,usa,amc hornet,3261.03,28.6
21.0,6,200.0,85.0,2587,16.0,70,usa,ford maverick,3277.42,30.44
27.0,4,97.0,88.0,2130,14.5,70,japan,datsun pl510,1589.55,24.2
26.0,4,97.0,46.0,1835,20.5,70,europe,volkswagen 1131 deluxe sedan,1589.55,39.89
25.0,4,110.0,87.0,2672,17.5,70,europe,peugeot 504,1802.58,30.71
24.0,4,107.0,90.0,2430,14.5,70,europe,audi 100 ls,1753.42,27.0
25.0,4,104.0,95.0,2375,17.5,70,europe,saab 99e,1704.26,25.0
26.0,4,121.0,113.0,2234,12.5,70,europe,bmw 2002,1982.84,19.77
21.0,6,199.0,90.0,2648,15.0,70,usa,amc gremlin,3261.03,29.42
10.0,8,360.0,215.0,4615,14.0,70,usa,ford f250,5899.36,21.47
10.0,8,307.0,200.0,4376,15.0,70,usa,chevy c20,5030.84,21.88
11.0,8,318.0,210.0,4382,13.5,70,usa,dodge d200,5211.1,20.87
9.0,8,304.0,193.0,4732,18.5,70,usa,hi 1200d,4981.68,24.52
